county,year,population,source,rate
Snohomish,1970,265236,Census Count,-0.006606741573033759
Spokane,1970,287487,Census Count,0.026739285714285632
Stevens,1970,17405,Census Count,0.0002873563218390718
Thurston,1970,76894,Census Count,0.005150326797385585
Wahkiakum,1970,3592,Census Count,0.05647058823529405
Walla Walla,1970,42176,Census Count,0.028682926829268318
Whatcom,1970,81983,Census Count,-0.00020731707317067638
Whitman,1970,37900,Census Count,0.024324324324324298
Yakima,1970,145212,Census Count,0.01052192066805846
Adams,1971,12200,Intercensal Estimate,0.015481937739304064
Asotin,1971,14000,Intercensal Estimate,0.01456627291832735
Benton,1971,67500,Intercensal Estimate,-0.0005922416345869319
Chelan,1971,41000,Intercensal Estimate,-0.0025058998126656906
Clallam,1971,35700,Intercensal Estimate,0.026747195858498607
Clark,1971,133400,Intercensal Estimate,0.038504055926635194
Columbia,1971,4400,Intercensal Estimate,-0.00878576255913499
Cowlitz,1971,69500,Intercensal Estimate,0.012883292526524315
Douglas,1971,17600,Intercensal Estimate,0.048430332995770486
Ferry,1971,3700,Intercensal Estimate,0.012311901504787892
Franklin,1971,26000,Intercensal Estimate,0.00712736287573601
Garfield,1971,3100,Intercensal Estimate,0.0649261422191687
Grant,1971,42600,Intercensal Estimate,0.01716768940569713
Grays Harbor,1971,60000,Intercensal Estimate,0.007505919097274605
Island,1971,27400,Intercensal Estimate,0.014401540113287092
Jefferson,1971,10600,Intercensal Estimate,-0.0057217897007785234
King,1971,1151500,Intercensal Estimate,-0.0067924528301887
Kitsap,1971,100100,Intercensal Estimate,-0.016042149962646968
Kittitas,1971,25500,Intercensal Estimate,0.018411278405687126
Klickitat,1971,12600,Intercensal Estimate,0.03806228373702414
Lewis,1971,46200,Intercensal Estimate,0.016121582686343894
Lincoln,1971,9600,Intercensal Estimate,0.0029251984956122357
Mason,1971,21000,Intercensal Estimate,0.003920068840233215
Okanogan,1971,26300,Intercensal Estimate,0.016739475006765314
Pacific,1971,15600,Intercensal Estimate,-0.012408204608761686
Pend Oreille,1971,6200,Intercensal Estimate,0.029045643153526868
Pierce,1971,422900,Intercensal Estimate,0.02559998447897871
San Juan,1971,4100,Intercensal Estimate,0.06327800829875518
Skagit,1971,52700,Intercensal Estimate,0.006089994463641446
Skamania,1971,5900,Intercensal Estimate,0.009409751924722043
Snohomish,1971,262200,Intercensal Estimate,-0.01144640998959412
Spokane,1971,292000,Intercensal Estimate,0.015698101131529363
Stevens,1971,17600,Intercensal Estimate,0.011203677104280274
Thurston,1971,78900,Intercensal Estimate,0.026087861211538055
Wahkiakum,1971,3600,Intercensal Estimate,0.00222717149220486
Walla Walla,1971,42600,Intercensal Estimate,0.01005311077389992
Whatcom,1971,85000,Intercensal Estimate,0.0368003122598588
Whitman,1971,38100,Intercensal Estimate,0.005277044854881341
Yakima,1971,147400,Intercensal Estimate,0.015067625265129614
Adams,1972,12600,Intercensal Estimate,0.032786885245901676
Asotin,1972,14500,Intercensal Estimate,0.03571428571428581
Benton,1972,67700,Intercensal Estimate,0.002962962962963056
Chelan,1972,38900,Intercensal Estimate,-0.051219512195122
Clallam,1972,36300,Intercensal Estimate,0.01680672268907557
Clark,1972,141200,Intercensal Estimate,0.058470764617691184
Columbia,1972,4400,Intercensal Estimate,0.0
Cowlitz,1972,69200,Intercensal Estimate,-0.004316546762589968
Douglas,1972,17600,Intercensal Estimate,0.0
Ferry,1972,4000,Intercensal Estimate,0.08108108108108114
Franklin,1972,26800,Intercensal Estimate,0.03076923076923066
Garfield,1972,3200,Intercensal Estimate,0.032258064516129004
Grant,1972,42600,Intercensal Estimate,0.0
Grays Harbor,1972,59400,Intercensal Estimate,-0.010000000000000009
Island,1972,29500,Intercensal Estimate,0.07664233576642343
Jefferson,1972,10600,Intercensal Estimate,0.0
King,1972,1145900,Intercensal Estimate,-0.004863221884498503
Kitsap,1972,99600,Intercensal Estimate,-0.004995004995005048
Kittitas,1972,25300,Intercensal Estimate,-0.007843137254901933
Klickitat,1972,12600,Intercensal Estimate,0.0
Lewis,1972,46400,Intercensal Estimate,0.0043290043290042934
Lincoln,1972,9600,Intercensal Estimate,0.0
Mason,1972,20800,Intercensal Estimate,-0.00952380952380949
Okanogan,1972,26400,Intercensal Estimate,0.0038022813688212143
Pacific,1972,15400,Intercensal Estimate,-0.012820512820512775
Pend Oreille,1972,6400,Intercensal Estimate,0.032258064516129004
Pierce,1972,403000,Intercensal Estimate,-0.04705604161740362
San Juan,1972,4600,Intercensal Estimate,0.12195121951219523
Skagit,1972,52000,Intercensal Estimate,-0.013282732447817858
Skamania,1972,6100,Intercensal Estimate,0.03389830508474567
Snohomish,1972,263300,Intercensal Estimate,0.004195270785659844
Spokane,1972,296900,Intercensal Estimate,0.016780821917808275
Stevens,1972,18400,Intercensal Estimate,0.045454545454545414
Thurston,1972,80400,Intercensal Estimate,0.019011406844106515
Wahkiakum,1972,3700,Intercensal Estimate,0.02777777777777768
Walla Walla,1972,42100,Intercensal Estimate,-0.011737089201877882
Whatcom,1972,87300,Intercensal Estimate,0.027058823529411802
Whitman,1972,38200,Intercensal Estimate,0.002624671916010568
Yakima,1972,147400,Intercensal Estimate,0.0
